name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
"Hampton Inn Chicago North-Loyola Station, Il","Rs. 78,135","Rs. 58,167",0,Not Found,6,"Chicago, IL"
Radiance Apartment,"Rs. 165,176","Rs. 53,142",0,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Hampton Inn Chicago West Loop,"Rs. 114,852","Rs. 79,424",3,Not Found,7,"Chicago, IL"
Roscoe Village Guesthouse,"Rs. 157,817","Rs. 142,035",9,2,12,"Chicago, IL"
Ginosi Basics Loop Apartel,"Rs. 94,838","Rs. 37,403",5,2,24,"Chicago, IL"
Chicago Daily Rentals,"Rs. 69,246","Rs. 59,584",1,Data Not Fouund,Data Not Fouund,"Chicago, IL"
The Tremont Chicago Hotel at Magnificent Mile,"Rs. 84,991","Rs. 57,220",0,Not Found,8,"Chicago, IL"
Hotel Cass - A Holiday Inn Express at Magnificent Mile,"Rs. 114,208","Rs. 56,878",3,2,12,"Chicago, IL"
Hotel Chicago-Illinois Medical District,"Rs. 89,730","Rs. 39,039",5,4,6,"Chicago, IL"
The Willows Hotel,"Rs. 94,887","Rs. 69,117",0,Not Found,10,"Chicago, IL"
The Guesthouse Hotel,"Rs. 158,010","Rs. 102,613",3,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Peru Apartment,"Rs. 114,762","Rs. 44,156",0,Data Not Fouund
